Text,Date
"Three years ago, I helped @EricHolder launch @AllOnTheLine, a people-powered campaign to fight gerrymandering and advocate for fair redistricting. All On The Line is driven by the core belief that voters should choose their representatives—not the other way around.",2022-02-22T21:51:58.000Z
"John Lewis knew that change could not wait for some other person or some other time. His life was a lesson in the fierce urgency of now. On his birthday, let’s honor his legacy by taking action and creating the change we hope to see in our own communities.",2022-02-21T15:00:26.000Z
It’s exactly the kind of ambition we need if we’re going to protect our planet and avoid the worst effects of climate change.,2022-02-17T19:33:48.000Z
"Now the Biden-Harris Administration’s Build Back Better Agenda includes an even larger investment that would create new jobs, help cut emissions in half by 2030, invest in coastal and soil conservation, and a lot more.",2022-02-17T19:33:47.000Z
".@JoeBiden played a major role in getting that passed—and over our eight years in office, carbon emissions decreased by nine percent, while the U.S. economy grew by more than 10 percent.",2022-02-17T19:33:47.000Z
"When I signed the American Recovery and Reinvestment Act in 2009, it included $90 billion for clean energy projects. At the time, it was the biggest investment in renewable energy in American history.",2022-02-17T19:33:46.000Z
"Azita Raji was a great friend and cherished member of my campaign team and administration who served our country with distinction. She represented the very best of America, and we are better off because of her leadership. She will be deeply missed.",2022-02-15T18:30:27.000Z
"Happy Valentine's Day, Michelle! With a smile that lights up the world, you're truly one-of-a-kind. Today and always, I am thankful to have you in my life.",2022-02-14T18:00:40.000Z
"Yes we can.
Yes we did.
Thanks to all of you who believed, volunteered, voted—and then carried the baton forward in your communities. Keep at it.",2022-02-11T00:00:30.000Z
"If you worked as an organizer on the campaign or volunteered in your community, I’d love to hear your stories from that day using #Obama08.",2022-02-10T14:00:14.000Z
"What gave me the confidence to move forward in spite of the odds were the people I met, including those on our campaign. They didn’t do it for me. They did it because they believed in what this country could be, and that we could change it for the better.",2022-02-10T14:00:14.000Z
"It’s hard to believe that 15 years have passed since I stood in front of the Old Capitol in Springfield, Illinois, and announced my candidacy for President. At the time, our campaign was viewed as a longshot—historic perhaps, but unlikely to end in the White House.",2022-02-10T14:00:13.000Z
"Antonio Dickey is a photojournalist who has spent the last 44 years capturing life in Chicago. Take a look at his conversation with the @ObamaFoundation to learn more about his career, the stories behind his photos, and his hopes for the future of Chicago.",2022-02-03T18:02:02.000Z
"As we celebrate Black History Month, it’s important to remember that we shouldn’t treat this month as though it is somehow separate from our collective American history. Black history is American history.",2022-02-03T18:02:02.000Z
"For anyone who cares about voting rights, @EricHolder’s new book is essential reading. It tells the story of our long, sometimes frustrating, but ultimately hopeful journey towards a more perfect union—and offers great advice for the road ahead.",2022-02-02T16:00:53.000Z
,
"Today, we still have more work to do to create a more equitable workforce, but Lilly remains an inspiration to me and so many others.",2022-01-29T17:00:49.000Z
"On this day thirteen years ago, I signed the Lilly Ledbetter Fair Pay Act. It was the first law I signed as President, and was a first step to closing the wage gap for women.",2022-01-29T17:00:48.000Z
"This record-setting enrollment period was a result of the hard work of @POTUS and Democrats in Congress. By passing the American Rescue Plan, they made health care more affordable for millions, building on a legacy I am deeply proud of.",2022-01-28T21:30:06.000Z
This week’s redistricting victory in Alabama is a win for our democracy. I’m grateful to @DemRedistrict and everyone who has been fighting so hard to make sure people everywhere have an equal opportunity to choose their representatives.,2022-01-28T18:31:10.000Z
"On Holocaust Remembrance Day, we honor the victims and survivors of one of the darkest periods in our history. But it’s not enough to remember — we also need to have the courage to speak out against acts of bigotry and hatred whenever we see them.",2022-01-27T16:00:44.000Z
"The Biden Administration has set up a way for folks to get four at-home COVID tests for free. Go to http://COVIDtests.gov to order, or call their hotline at 1-800-232-0233. And if you need to get vaccinated or boosted, visit http://vaccines.gov today.",2022-01-26T21:32:36.000Z
"The road ahead will not be easy, especially when one of our two major parties is standing in the way. But I still believe we can create a brighter future together, and I look forward to watching the Biden Administration build on this progress.",2022-01-20T21:42:44.000Z
"This Administration has also recommitted to the fight against climate change, and signed a crucial infrastructure law to improve roads and buildings across our country. And they're only getting started.",2022-01-20T21:42:44.000Z
"Under his leadership, our economy set the record for the most jobs added in a single year. Over 200 million people are now vaccinated against COVID-19. The American Rescue Plan provided relief to families. More people can now afford healthcare.",2022-01-20T21:42:43.000Z
"For eight years, I witnessed firsthand the empathy and precision @POTUS brought to our work repairing the American economy. And one year into his presidency, President Biden's administration has led a historic recovery effort.",2022-01-20T21:42:43.000Z
"In his inaugural address one year ago today, @POTUS committed to “press forward with speed and urgency, for we have much to do in this winter of peril and possibility.” In the year since, he and the @VP have made significant progress in the face of enormous challenges.",2022-01-20T21:42:42.000Z
"When Michelle and I launched the @ObamaFoundation, we turned to you first. We read your letters and emails, and listened to your ideas. Five years later, we’ve come a long way with your help — and we’re even more excited about what’s next. http://obama.org/5-years",2022-01-20T17:52:02.000Z
"Thanks to the life-saving work by scientists and our government’s top medical experts, we have COVID-19 vaccines to protect us. This is what happens when we trust science, and hardworking doctors and researchers set out to do big things.",2022-01-19T18:00:49.000Z
"Congrats to our newest cohort of @ObamaFoundation Europe Leaders! These bright, innovative young people are tackling the most pressing issues in their communities, and I can't wait to see what they can do together.",2022-01-18T22:02:04.000Z
"Happy birthday, Michelle.

My love, my partner, my best friend...",2022-01-17T17:00:39.000Z
"With the King family marching today, we remember that the fight for voting rights takes perseverance. As Dr. King said, “There are no broad highways to lead us easily and inevitably to quick solutions. We must keep going.” May we honor his memory through action forged in faith.",2022-01-17T14:15:41.000Z
"We've seen how the Affordable Care Act continues to help folks—especially in states that didn't expand Medicaid—get the peace of mind they need. But we still have more work to do to expand access to quality, affordable health care.",2022-01-14T17:31:12.000Z
"Tomorrow, January 15th is the last day to sign up for health care until the fall at http://HealthCare.gov. Make sure to get covered today.",2022-01-14T17:31:11.000Z
"The House just passed the Freedom to Vote: John R. Lewis Act. Now the Senate needs to do the same. It's the best way to protect the right to vote, end partisan gerrymandering, and restore crucial parts of the Voting Rights Act.",2022-01-13T19:32:36.000Z
,
"The filibuster has no basis in the Constitution, and in recent years, it has become a routine way for the Senate minority to block important progress on issues supported by the majority of voters. But we can’t allow it to be used to block efforts to protect our democracy.",2022-01-13T00:08:27.000Z
Now is the time for the U.S. Senate to do the right thing and call a vote on crucial voting rights legislation. Future generations are counting on us to protect our democracy. I wrote out some thoughts about why this is so important.,2022-01-13T00:08:26.000Z
"I wanted to share some of those stories, and also hear about the work you’ve been doing to create change:",2022-01-10T17:26:59.000Z
"Five years ago during my Farewell Address, I asked you to believe in your ability to bring about change. Since then, many of you have answered the call – starting nonprofits, organizing around important issues, and running for office yourselves.",2022-01-10T17:26:26.000Z
"It was a great honor to pay tribute to my friend, Harry Reid. Few people have done more for Nevada and our country over the years than this driven, brilliant, sometimes irascible, deeply good man from Searchlight.",2022-01-08T22:39:20.000Z
"Through his groundbreaking roles and singular talent, Sidney Poitier epitomized dignity and grace, revealing the power of movies to bring us closer together. He also opened doors for a generation of actors. Michelle and I send our love to his family and legion of fans.",2022-01-07T17:55:42.000Z
"One year ago, a violent attack on our Capitol made it clear just how fragile the American experiment in democracy really is. Here’s my statement on what the anniversary means, and what we need to do today.",2022-01-06T14:00:08.000Z
"I’m hopeful about 2022. This year will undoubtedly have its challenges, just like 2021 did. But we’ve made it this far—and I still believe we can build a brighter future together. Happy New Year!",2022-01-01T15:30:34.000Z
"If you're feeling discouraged about our democracy, read this article about how citizens in Michigan took politics out of the redistricting process. It’s why the work @EricHolder and the @DemRedistrict are doing to fight gerrymandering is so important.",2021-12-31T16:01:50.000Z
"When Harry Reid was nearing the end, his wife Landra asked some of us to share letters that she could read to him. In lieu of a statement, here’s what I wrote to my friend:",2021-12-29T01:57:09.000Z
"Congrats to all the scientists and engineers involved with launching this once-in-a-generation telescope! Proud my administration supported it when the going got tough, and I can't wait to see what it uncovers about the fundamental origins of our universe.",2021-12-27T18:02:04.000Z
"He never lost his impish sense of humor and willingness to find humanity in his adversaries, and Michelle and I will miss him dearly.",2021-12-26T13:48:54.000Z
"Archbishop Desmond Tutu was a mentor, a friend, and a moral compass for me and so many others. A universal spirit, Archbishop Tutu was grounded in the struggle for liberation and justice in his own country, but also concerned with injustice everywhere.",2021-12-26T13:48:53.000Z
"Merry Christmas, everybody! This year, I got a little help spreading holiday cheer from Sunny. Wishing you all a peaceful and joyful holiday season with the ones you love.",2021-12-25T14:30:26.000Z
"I thought I knew Green Eggs and Ham better than most people, but at Kimball Elementary’s vaccination site earlier this month I finally met my match.",2021-12-22T20:00:49.000Z
We've seen @MBK_Alliance communities across the country step up throughout the pandemic to expand opportunities for boys and young men of color. Here's a look at some of the important work they’ve done this year:,2021-12-20T19:30:24.000Z
Proud of the South Side Wolfpack team for all their hard work and dedication this season!,2021-12-18T17:31:52.000Z
"I'm inspired by the stories of progress that came from 2021—especially the example set by a new generation of young leaders making a difference in their communities. 

Take a look at the work that came out of the @ObamaFoundation over the past year.",2021-12-17T18:13:20.000Z
"I've always enjoyed listening to a wide variety of music, so it’s no surprise that I listened to a little bit of everything this year. I hope you find a new artist or song to add to your own playlist.",2021-12-17T15:30:21.000Z
,
"Since these are works I have actually listened to, watched, or read, I’m sure I’ve missed some worthy stuff. So if you have your own recommendations to share, I’ll add them to the stack of books and movies I hope to catch up on over the holidays!",2021-12-15T17:21:17.000Z
"Over the next few days, I'll share my annual list of favorite books, music, and movies. Art always sustains and nourishes the soul. But for me, music and storytelling felt especially urgent during this pandemic year. I'll start by sharing some of my favorite books of 2021:",2021-12-15T17:21:16.000Z
"You heard, @POTUS – get covered today at http://HealthCare.gov.",2021-12-15T16:01:05.000Z
"The best way to honor them—the only way that really matters—is to fight this epidemic of gun violence and prevent even more senseless death and suffering. We can, and must, do more.",2021-12-14T21:30:38.000Z
"Nine years ago was one of the darkest days of my presidency. Today we remember the children and adults who were killed at Sandy Hook Elementary, and the families who have endured so much grief.",2021-12-14T21:30:37.000Z
"Last week, powerful tornadoes devastated communities across the Midwest and South. Michelle and I are thinking of the families who have lost so much. If you'd like to help with the recovery, visit:",2021-12-14T15:00:02.000Z
"Michelle and I loved being back in Chicago last week. It was a quick trip, but we packed a lot in — and met some fantastic people along the way. Take a look.",2021-12-09T19:04:48.000Z
"As Chancellor, Angela Merkel served with integrity, leading Germany and Europe through many storms. Drawing on her wise pragmatism and her unrelenting moral compass, she made hard decisions and became a role model for many. Thank you for your leadership.",2021-12-09T14:45:57.000Z
